agentId;configSeed;rounds;totalVictories;avgVictories;totalDeaths;avgDeaths;totalTimedout;avgTimedout;totalTimeSpent;avgTimeSpent
MarioAI;20;200;200;1.0;0;0.0;0;0.0;10000;50.0
MarioAI;20;200;200;1.0;0;0.0;0;0.0;10000;50.0
MarioAI;20;200;200;1.0;0;0.0;0;0.0;10262;51.31
MarioAI;20;200;200;1.0;0;0.0;0;0.0;10166;50.83
MarioAI;20;200;200;1.0;0;0.0;0;0.0;10254;51.27
MarioAI;20;200;0;0.0;200;1.0;0;0.0;40000;200.0
MarioAI;20;200;200;1.0;0;0.0;0;0.0;5956;29.78
MarioAI;20;200;190;0.95;10;0.05;0;0.0;7632;38.16
MarioAI;20;200;200;1.0;0;0.0;0;0.0;5956;29.78
MarioAI;20;200;75;0.375;125;0.625;0;0.0;4559;22.795
MarioAI;14;200;80;0.4;120;0.6;0;0.0;4722;23.61
MarioAI;14;200;77;0.385;123;0.615;0;0.0;4727;23.635
MarioAI;14;200;80;0.4;120;0.6;0;0.0;4722;23.61
MarioAI;14;200;77;0.385;123;0.615;0;0.0;4727;23.635
MarioAI;14;200;82;0.41;118;0.59;0;0.0;4770;23.85
MarioAI;14;200;54;0.27;146;0.73;0;0.0;4484;22.42
MarioAI;14;200;132;0.66;68;0.34;0;0.0;4968;24.84
MarioAI;14;200;137;0.685;63;0.315;0;0.0;5016;25.08
MarioAI;14;200;137;0.685;63;0.315;0;0.0;5015;25.075
MarioAI;14;200;137;0.685;63;0.315;0;0.0;5015;25.075
MarioAI;10;200;148;0.74;52;0.26;0;0.0;5101;25.505
MarioAI;14;200;137;0.685;63;0.315;0;0.0;5015;25.075
MarioAI;1;200;140;0.7;60;0.3;0;0.0;4999;24.995
MarioAI;3;200;150;0.75;50;0.25;0;0.0;5081;25.405
MarioAI;14;200;137;0.685;63;0.315;0;0.0;5015;25.075
MarioAI;14;200;137;0.685;63;0.315;0;0.0;5015;25.075
